OIL_VOL,GAS_VOL,WAT_VOL,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,DAYTIME,id_model,model_type
1349.217744893909,203128.78607702788,1175.6778667874617,1210.98,185325.19,1217.5,2015-08-12,fae3f457-4284-4bd7-9b65-85368744d855,LR
1355.8998622403326,203074.77591955537,1217.47261776918,1205.33,185749.03,1217.71,2015-08-13,fae3f457-4284-4bd7-9b65-85368744d855,LR
1353.341704360381,203241.52621962206,1218.9963192939506,1205.98,185405.1,1216.12,2015-08-14,fae3f457-4284-4bd7-9b65-85368744d855,LR
1357.5734569686886,203491.83111100705,1217.1772647781947,1204.85,183252.08,1217.04,2015-08-15,fae3f457-4284-4bd7-9b65-85368744d855,LR
1361.1321931462624,202934.49881966945,1216.8901416837327,1199.53,180277.33,1191.24,2015-08-16,fae3f457-4284-4bd7-9b65-85368744d855,LR
1345.5181217746617,200254.1565408631,1190.8354185653202,1185.78,179634.81,1190.82,2015-08-17,fae3f457-4284-4bd7-9b65-85368744d855,LR
1335.3735972902643,199426.15079237559,1191.9575170679288,1192.7,179522.18,1148.83,2015-08-18,fae3f457-4284-4bd7-9b65-85368744d855,LR
1344.9361943623117,200174.40513624088,1151.1383453684875,1191.93,179478.06,1264.88,2015-08-19,fae3f457-4284-4bd7-9b65-85368744d855,LR
1350.0128772647772,200292.561035687,1260.5244377639656,1204.72,180887.46,1237.65,2015-08-20,fae3f457-4284-4bd7-9b65-85368744d855,LR
1362.2899982953618,202145.4850830749,1235.5079951548412,1179.2,177614.52,1191.48,2015-08-21,fae3f457-4284-4bd7-9b65-85368744d855,LR
1333.0239321277827,198305.68197686257,1191.2167877913062,1176.63,175818.74,1175.47,2015-08-22,fae3f457-4284-4bd7-9b65-85368744d855,LR
1330.6453814898625,197421.5198901346,1175.2104052587115,1163.24,172903.01,1213.46,2015-08-23,fae3f457-4284-4bd7-9b65-85368744d855,LR
1329.442624088124,196850.2339174155,1212.7255334939148,1160.11,173584.52,1201.02,2015-08-24,fae3f457-4284-4bd7-9b65-85368744d855,LR
1324.9368281058862,196811.76010960943,1201.7650676528663,1158.64,172798.34,1196.26,2015-08-25,fae3f457-4284-4bd7-9b65-85368744d855,LR
1325.6530470447046,196680.73326479958,1197.2613497975512,671.06,102153.42,777.39,2015-08-26,fae3f457-4284-4bd7-9b65-85368744d855,LR
969.3322075952346,147813.0011687197,807.8643261531444,0.0,0.0,0.0,2015-08-27,fae3f457-4284-4bd7-9b65-85368744d855,LR
561.7668815222008,87143.871432219,62.49400578857089,0.0,0.0,0.0,2015-08-28,fae3f457-4284-4bd7-9b65-85368744d855,LR
559.7401263040836,86240.97421626115,63.61372255481641,0.0,0.0,0.0,2015-08-29,fae3f457-4284-4bd7-9b65-85368744d855,LR
527.4374992555802,81564.62919653811,62.1023689583055,0.0,0.0,0.0,2015-08-30,fae3f457-4284-4bd7-9b65-85368744d855,LR
547.5186636194758,84588.81519329705,65.33660778171293,447.37,77429.47,702.72,2015-08-31,fae3f457-4284-4bd7-9b65-85368744d855,LR
628.1075929549229,101088.102280169,717.0122097841271,1154.34,185768.97,1314.62,2015-09-01,fae3f457-4284-4bd7-9b65-85368744d855,LR
1323.8954124808167,202489.35206209891,1323.9043751076,1192.8,183061.48,1323.05,2015-09-02,fae3f457-4284-4bd7-9b65-85368744d855,LR
